950 Mbps
883 Mbps
872 Mbps
870 Mbps
860 Mbps
850 Mbps
862 Mbps
853 Mbps
860 Mbps
859 Mbps
861 Mbps
847 Mbps
841 Mbps
854 Mbps
953 Mbps
847 Mbps
864 Mbps
887 Mbps
837 Mbps
885 Mbps
934 Mbps
843 Mbps
962 Mbps
864 Mbps
918 Mbps
947 Mbps
861 Mbps
957 Mbps
881 Mbps
885 Mbps
858 Mbps
952 Mbps
913 Mbps
860 Mbps
851 Mbps
863 Mbps
850 Mbps
867 Mbps
840 Mbps
873 Mbps
836 Mbps
886 Mbps
951 Mbps
871 Mbps
955 Mbps
883 Mbps
863 Mbps
882 Mbps
964 Mbps
946 Mbps
831 Mbps
838 Mbps
836 Mbps
877 Mbps
869 Mbps
949 Mbps
843 Mbps
877 Mbps
921 Mbps
959 Mbps
876 Mbps
872 Mbps
850 Mbps
870 Mbps
877 Mbps
869 Mbps
839 Mbps
853 Mbps
839 Mbps
873 Mbps
871 Mbps
852 Mbps
838 Mbps
874 Mbps
869 Mbps
874 Mbps
868 Mbps
829 Mbps
859 Mbps
850 Mbps
866 Mbps
849 Mbps
876 Mbps
840 Mbps
875 Mbps
844 Mbps
931 Mbps
942 Mbps
861 Mbps
882 Mbps
828 Mbps
823 Mbps
942 Mbps
833 Mbps
838 Mbps
952 Mbps
837 Mbps
878 Mbps
866 Mbps
841 Mbps
