64 251.28 6.00679615103
128 498.84 19.4580163429
256 834.04 34.3481935478
512 905.11 39.6638109616
768 921.35 38.5969882245
1024 950.11 33.8644046161
1280 952.42 34.9053520252
1408 957.28 34.4668188262
1664 945.04 38.9925428768
2048 944.69 39.1230609743
3072 983.79 10.6351257632
4096 984.61 14.5388410817
